Війна	 росія продовжує атаки на україну російські війська обстріляли кілька населених пунктів на сході україни постраждали житлові будинки та інфраструктура
Війна	 мирні переговори знову провалились спільні перемовини не призвели до конкретних результатів сторони звинувачують одна одну
Війна	 зсу отримали нові дрони військові повідомляють про постач
Війна	 вдалі контратаки зсу на харківщині українські війська відкинули ворога від декількох сіл на харківщині звільнено важливі стратегічні об’єкти
Війна	 окупанти посилюють обстріли на півдні російські війська активізували артилерійські атаки на миколаїв місцева влада закликає мешканців до обережності
Війна	 зсу відбили атаки в бахмуті зсу зупинили просування російських сил у районі бахмута ворог зазнав значних втрат
Війна	 евакуація населення з херсону влада організувала евакуацію через загрозу обстрілів людей вивозять у безпечні регіони
Війна	 нове озброєння для зсу сша передали україні сучасні системи ппо це підсилить обороноздатність країни
Війна	 бойові дії у сєвєродонецьку тривають місто залишається під постійними обстрілами обидві сторони заявляють про важливість утримання позицій
Війна	 гуманітарна допомога від єс європейський союз надіслав в україну черговий гуманітарний вантаж допомога включає ліки, їжу та одяг
